src_id,tgt_id,src_title,tgt_title
30000.30400.30402,30402,"{'cs': 'Technologie zahrnující manipulace s buňkami, tkáněmi, orgány nebo celými organismy (asistovaná reprodukce)', 'en': 'Technologies involving the manipulation of cells, tissues, organs or the whole organism (assisted reproduction)'}","{'cs': 'Technologie zahrnující manipulace s buňkami, tkáněmi, orgány nebo celými organismy (asistovaná reprodukce)', 'en': 'Technologies involving the manipulation of cells, tissues, organs or the whole organism (assisted reproduction)'}"
30000.30400.30403,30403,"{'cs': 'Technologie zahrnující identifikace činností DNA, proteinů a enzymů a jejich vlivy na nápor nemocí a zachování pocitů zdraví (genová diagnostika a terapeutické zákroky, farmakogenomika, genová terapeutika)', 'en': 'Technologies involving identifying the functioning of DNA, proteins and enzymes and how they influence the onset of disease and maintenance of well-being (gene-based diagnostics and therapeutic interventions - pharmacogenomics, gene-based therapeutics)'}","{'cs': 'Technologie zahrnující identifikace činností DNA, proteinů a enzymů a jejich vlivy na nápor nemocí a zachování pocitů zdraví (genová diagnostika a terapeutické zákroky, farmakogenomika, genová terapeutika)', 'en': 'Technologies involving identifying the functioning of DNA, proteins and enzymes and how they influence the onset of disease and maintenance of well-being (gene-based diagnostics and therapeutic interventions - pharmacogenomics, gene-based therapeutics)'}"
30000.30400.30404,30404,"{'cs': 'Biomateriály (související s lékařskými implantáty, přístroji, senzory)', 'en': 'Biomaterials (as related to medical implants, devices, sensors)'}","{'cs': 'Biomateriály (související s lékařskými implantáty, přístroji, senzory)', 'en': 'Biomaterials (as related to medical implants, devices, sensors)'}"
30000.30400.30405,30405,"{'cs': 'Lékařské biotechnologie související s etikou', 'en': 'Medical biotechnology related ethics'}","{'cs': 'Lékařské biotechnologie související s etikou', 'en': 'Medical biotechnology related ethics'}"
30000.30500,30500,"{'cs': 'Ostatní lékařské vědy', 'en': 'Other medical sciences'}","{'cs': 'Ostatní lékařské vědy', 'en': 'Other medical sciences'}"
30000.30500.30501,30501,"{'cs': 'Soudní lékařství', 'en': 'Forensic science'}","{'cs': 'Soudní lékařství', 'en': 'Forensic science'}"
30000.30500.30502,30502,"{'cs': 'Ostatní lékařské vědy', 'en': 'Other medical science'}","{'cs': 'Ostatní lékařské vědy', 'en': 'Other medical science'}"
40000,40000,"{'cs': 'Zemědělské a veterinární vědy', 'en': 'Agricultural and veterinary sciences'}","{'cs': 'Zemědělské a veterinární vědy', 'en': 'Agricultural and veterinary sciences'}"
40000.40100,40100,"{'cs': 'Zemědělství, lesnictví, rybářství', 'en': 'Agriculture, forestry and fisheries'}","{'cs': 'Zemědělství, lesnictví, rybářství', 'en': 'Agriculture, forestry and fisheries'}"
40000.40100.40101,40101,"{'cs': 'Zemědělství', 'en': 'Agriculture'}","{'cs': 'Zemědělství', 'en': 'Agriculture'}"
40000.40100.40102,40102,"{'cs': 'Lesnictví', 'en': 'Forestry'}","{'cs': 'Lesnictví', 'en': 'Forestry'}"
40000.40100.40103,40103,"{'cs': 'Rybářství', 'en': 'Fishery'}","{'cs': 'Rybářství', 'en': 'Fishery'}"
40000.40100.40104,40104,"{'cs': 'Půdoznalství', 'en': 'Soil science'}","{'cs': 'Půdoznalství', 'en': 'Soil science'}"
40000.40100.40105,40105,"{'cs': 'Zahradnictví, vinařství', 'en': 'Horticulture, viticulture'}","{'cs': 'Zahradnictví, vinařství', 'en': 'Horticulture, viticulture'}"
40000.40100.40106,40106,"{'cs': 'Agronomie, šlechtění a ochrana rostlin', 'en': 'Agronomy, plant breeding and plant protection'}","{'cs': 'Agronomie, šlechtění a ochrana rostlin', 'en': 'Agronomy, plant breeding and plant protection'}"
40000.40200,40200,"{'cs': 'Vědy o zvířatech a mléce', 'en': 'Animal and dairy science'}","{'cs': 'Vědy o zvířatech a mléce', 'en': 'Animal and dairy science'}"
40000.40400.40401,40401,"{'cs': 'Zemědělské biotechnologie a biotechnologie potravin', 'en': 'Agricultural biotechnology and food biotechnology'}","{'cs': 'Zemědělské biotechnologie a biotechnologie potravin', 'en': 'Agricultural biotechnology and food biotechnology'}"
40000.40400.40402,40402,"{'cs': 'Technologie genetických modifikací (plodiny a dobytek), klonování dobytka, ukazatele selekce, diagnostika (zlomky DNA a biosenzory pro brzkou/přesnou detekci nemocí), technologie zpracování biomasy, biohospodářství', 'en': 'GM technology (crops and livestock), livestock cloning, marker assisted selection, diagnostics (DNA chips and biosensing devices for the early/accurate detection of diseases) biomass feedstock production technologies, biopharming'}","{'cs': 'Technologie genetických modifikací (plodiny a dobytek), klonování dobytka, ukazatele selekce, diagnostika (zlomky DNA a biosenzory pro brzkou/přesnou detekci nemocí), technologie zpracování biomasy, biohospodářství', 'en': 'GM technology (crops and livestock), livestock cloning, marker assisted selection, diagnostics (DNA chips and biosensing devices for the early/accurate detection of diseases) biomass feedstock production technologies, biopharming'}"
50000.50100.50101,50101,"{'cs': 'Psychologie (zahrnuje vztahy mezi člověkem a strojem)', 'en': 'Psychology (including human - machine relations)'}","{'cs': 'Psychologie (zahrnuje vztahy mezi člověkem a strojem)', 'en': 'Psychology (including human - machine relations)'}"
50000.50100.50102,50102,"{'cs': 'Speciální psychologie (zahrnuje terapii pro učení, řeč, poslech, zrakové a jiné fyzické a mentální handicapy)', 'en': 'Psychology, special (including therapy for learning, speech, hearing, visual and other physical and mental disabilities)'}","{'cs': 'Speciální psychologie (zahrnuje terapii pro učení, řeč, poslech, zrakové a jiné fyzické a mentální handicapy)', 'en': 'Psychology, special (including therapy for learning, speech, hearing, visual and other physical and mental disabilities)'}"
50000.50100.50103,50103,"{'cs': 'Kognitivní vědy', 'en': 'Cognitive sciences'}","{'cs': 'Kognitivní vědy', 'en': 'Cognitive sciences'}"
50000.50200,50200,"{'cs': 'Ekonomie a podnikání', 'en': 'Economics and business'}","{'cs': 'Ekonomie a podnikání', 'en': 'Economics and business'}"
50000.50200.50201,50201,"{'cs': 'Ekonomická teorice', 'en': 'Economic theory'}","{'cs': 'Ekonomická teorice', 'en': 'Economic theory'}"
50000.50200.50202,50202,"{'cs': 'Aplikovaná ekonomie, ekonometrie', 'en': 'Applied economics, econometrics'}","{'cs': 'Aplikovaná ekonomie, ekonometrie', 'en': 'Applied economics, econometrics'}"
50000.50200.50203,50203,"{'cs': 'Pracovní vztahy', 'en': 'Industrial relations'}","{'cs': 'Pracovní vztahy', 'en': 'Industrial relations'}"
50000.50200.50204,50204,"{'cs': 'Podnikání a management', 'en': 'Business and management'}","{'cs': 'Podnikání a management', 'en': 'Business and management'}"
50000.50200.50205,50205,"{'cs': 'Účetnictví', 'en': 'Accounting'}","{'cs': 'Účetnictví', 'en': 'Accounting'}"
50000.50200.50206,50206,"{'cs': 'Finance', 'en': 'Finance'}","{'cs': 'Finance', 'en': 'Finance'}"
50000.50300.50301,50301,"{'cs': 'Všeobecné vzdělávání (zahrnuje výcvik, pedagogiku, didaktiku, vzdělávací systémy)', 'en': 'Education, general (including training, pedagogy, didactics and education systems)'}","{'cs': 'Všeobecné vzdělávání (zahrnuje výcvik, pedagogiku, didaktiku, vzdělávací systémy)', 'en': 'Education, general (including training, pedagogy, didactics and education systems)'}"
50000.50300.50302,50302,"{'cs': 'Speciální vzdělávání (pro nadané osoby, pro osoby s poruchami učení)', 'en': 'Education, special (to gifted persons, those with learning disabilities)'}","{'cs': 'Speciální vzdělávání (pro nadané osoby, pro osoby s poruchami učení)', 'en': 'Education, special (to gifted persons, those with learning disabilities)'}"
50000.50400,50400,"{'cs': 'Sociologie', 'en': 'Sociology'}","{'cs': 'Sociologie', 'en': 'Sociology'}"
50000.50400.50401,50401,"{'cs': 'Sociologie', 'en': 'Sociology'}","{'cs': 'Sociologie', 'en': 'Sociology'}"
50000.50400.50402,50402,"{'cs': 'Demografie', 'en': 'Demography'}","{'cs': 'Demografie', 'en': 'Demography'}"
50000.50400.50403,50403,"{'cs': 'Sociální témata (studie žen a pohlaví, sociální problémy, studie rodin, sociální práce)', 'en': 'Social topics (women´s and gender studies, social issues, family studies social work)'}","{'cs': 'Sociální témata (studie žen a pohlaví, sociální problémy, studie rodin, sociální práce)', 'en': 'Social topics (women´s and gender studies, social issues, family studies social work)'}"
50000.50400.50404,50404,"{'cs': 'Antropologie, etnologie', 'en': 'Anthropology, ethnology'}","{'cs': 'Antropologie, etnologie', 'en': 'Anthropology, ethnology'}"
50000.50500,50500,"{'cs': 'Právo', 'en': 'Law'}","{'cs': 'Právo', 'en': 'Law'}"
50000.50500.50501,50501,"{'cs': 'Právo', 'en': 'Law'}","{'cs': 'Právo', 'en': 'Law'}"
50000.50500.50502,50502,"{'cs': 'Kriminologie, penologie', 'en': 'Criminology, penology'}","{'cs': 'Kriminologie, penologie', 'en': 'Criminology, penology'}"
50000.50600,50600,"{'cs': 'Politologie', 'en': 'Political science'}","{'cs': 'Politologie', 'en': 'Political science'}"
50000.50600.50601,50601,"{'cs': 'Politologie', 'en': 'Political science'}","{'cs': 'Politologie', 'en': 'Political science'}"
50000.50600.50602,50602,"{'cs': 'Veřejná správa', 'en': 'Public administration'}","{'cs': 'Veřejná správa', 'en': 'Public administration'}"
50000.50600.50603,50603,"{'cs': 'Teorie organizace', 'en': 'Organisation theory'}","{'cs': 'Teorie organizace', 'en': 'Organisation theory'}"
50000.50700,50700,"{'cs': 'Sociální a ekonomická geografie', 'en': 'Social and economic geography'}","{'cs': 'Sociální a ekonomická geografie', 'en': 'Social and economic geography'}"
50000.50700.50701,50701,"{'cs': 'Kulturní a ekonomická geografie', 'en': 'Cultural and economic geography'}","{'cs': 'Kulturní a ekonomická geografie', 'en': 'Cultural and economic geography'}"
50000.50700.50702,50702,"{'cs': 'Urbanismus (plánování a rozvoj)', 'en': 'Urban studies (planning and development)'}","{'cs': 'Urbanismus (plánování a rozvoj)', 'en': 'Urban studies (planning and development)'}"
50000.50700.50703,50703,"{'cs': 'Plánování dopravy a sociální hlediska dopravy', 'en': 'Transport planning and social aspects of transport'}","{'cs': 'Plánování dopravy a sociální hlediska dopravy', 'en': 'Transport planning and social aspects of transport'}"
60000.60300.60301,60301,"{'cs': 'Filozofie, dějiny a filozofie vědy a techniky', 'en': 'Philosophy, history and philosophy of science and technology'}","{'cs': 'Filozofie, dějiny a filozofie vědy a techniky', 'en': 'Philosophy, history and philosophy of science and technology'}"
60000.60300.60302,60302,"{'cs': 'Etika (vyjma etiky související s příslušnými kategoriemi)', 'en': 'Ethics (except ethics related to specific subfields)'}","{'cs': 'Etika (vyjma etiky související s příslušnými kategoriemi)', 'en': 'Ethics (except ethics related to specific subfields)'}"
60000.60300.60303,60303,"{'cs': 'Teologie', 'en': 'Theology'}","{'cs': 'Teologie', 'en': 'Theology'}"
60000.60300.60304,60304,"{'cs': 'Religionistika', 'en': 'Religious studies'}","{'cs': 'Religionistika', 'en': 'Religious studies'}"
60000.60400,60400,"{'cs': 'Umění (umění, dějiny umění, múzická umění, hudba)', 'en': 'Arts (arts, history of arts, performing arts, music)'}","{'cs': 'Umění (umění, dějiny umění, múzická umění, hudba)', 'en': 'Arts (arts, history of arts, performing arts, music)'}"
60000.60400.60401,60401,"{'cs': 'Umění, dějiny umění', 'en': 'Arts, art history'}","{'cs': 'Umění, dějiny umění', 'en': 'Arts, art history'}"
60000.60400.60402,60402,"{'cs': 'Architektonický design', 'en': 'Architectural design'}","{'cs': 'Architektonický design', 'en': 'Architectural design'}"
60000.60400.60403,60403,"{'cs': 'Múzická umění (muzikologie, divadelní věda, dramaturgie)', 'en': 'Performing arts studies (musicology, theater science, dramaturgy)'}","{'cs': 'Múzická umění (muzikologie, divadelní věda, dramaturgie)', 'en': 'Performing arts studies (musicology, theater science, dramaturgy)'}"
