slug;id;name;ico;fuzzy;explanation;parent
nudz;05xj56w78;Národní ústav duševního zdraví;23752;0;;
oracle;006c77m33;Oracle (United States);;0;;
osu;00pyqav47;Ostravská univerzita;;;;
osu.lekarska_fakulta;orjk:17110;Lékařská fakulta / Ostravská univerzita;;;Ostravská univerzita;00pyqav47
paru_cas;05rhyza23;Parazitologický ústav AV ČR;;0;;
pnnl;05h992307;Pacific Northwest National Laboratory;;0;;
qub;00hswnk62;Queen's University Belfast;;0;;
stu;0561ghm58;Slovenská technická univerzita v Bratislave;;0;;
syft;nzbn:9429036308996;Syft Technologies;;;;
technische_universitat_dresden;042aqky30;Technische Universität Dresden;;0;;
tescan_group;0556an218;TESCAN Group;;0;;
tul;02jtk7k02;Technická univerzita v Liberci;46747885;0;;
tul.fakulta_prirodovedne_humanitni_a_pedagogicka;orjk:24510;Fakulta přírodovědně-humanitní a pedagogická / Technická univerzita v Liberci;;1;Technická univerzita v Liberci / Fakulta přírodovědně-humanitní a pedagogická;02jtk7k02
tul.ustav_pro_nanomaterialy_pokrocile_technologie_a_inovace;orjk:24620;Ústav pro nanomateriály, pokročilé technologie a inovace / Technická univerzita v Liberci;;1;Technická univerzita v Liberci / Ústav pro nanomateriály, pokročilé technologie a inovace;02jtk7k02
tum;02kkvpp62;Technical University of Munich;;0;;
uach_cas;01hsjcv06;Ústav anorganické chemie AV ČR;61388980;0;;
ufe_cas;05wrbcx33;Ústav fotoniky a elektroniky AV ČR;67985882;0;;
uiach_cas;05g7knd32;Ústav analytické chemie AV ČR;68081715;0;;
ujep;04vjwcp92;Univerzita Jana Evangelisty Purkyně v Ústí nad Labem;44555601;0;;
ujep.fakulta_strojniho_inzenyrstvi;orjk:13420;Fakulta strojního inženýrství / Univerzita Jana Evangelisty Purkyně v Ústí nad Labem;;1;Univerzita Jana Evangelisty Purkyně v Ústí nad Labem / Fakulta strojního inženýrství;04vjwcp92
ujep.pedagogicka_fakulta_2;orjk:13430;Pedagogická fakulta / Univerzita Jana Evangelisty Purkyně v Ústí nad Labem;;1;Univerzita Jana Evangelisty Purkyně v Ústí nad Labem / Pedagogická fakulta;04vjwcp92
uk;024d6js02;Univerzita Karlova;216208;0;;
uk.1_lekarska_fakulta;orjk:11110;1. lékařská fakulta / Univerzita Karlova;;1;Univerzita Karlova / 1. lékařská fakulta;024d6js02
uk.2_lekarska_fakulta;orjk:11130;2. lékařská fakulta / Univerzita Karlova;;;;024d6js02
uk.2_lekarska_fakulta.klinika_detske_a_dospele_ortopedie_a_traumatologie_fn_motol;orjk:11130:0001;Klinika dětské a dospělé ortopedie a traumatologie (FN Motol) / 2. lékařská fakulta / Univerzita Karlova;;;Univerzita Karlova / (nerozlišená součást);orjk:11130
uk.fakulta_telesne_vychovy_a_sportu;orjk:11510;Fakulta tělesné výchovy a sportu / Univerzita Karlova;;1;Univerzita Karlova / Fakulta tělesné výchovy a sportu;024d6js02
uk.matematicko_fyzikalni_fakulta;orjk:11320;Matematicko-fyzikální fakulta / Univerzita Karlova;;1;Univerzita Karlova / Matematicko-fyzikální fakulta;024d6js02
uk.matematicko_fyzikalni_fakulta.cesky_hydrometeorologicky_ustav;orjk:11320:0001;Český hydrometeorologický ústav / Matematicko-fyzikální fakulta / Univerzita Karlova;;;Univerzita Karlova / Evangelická teologická fakulta;orjk:11320
uk.matematicko_fyzikalni_fakulta.katedra_fyziky_atmosfery;orjk:11320:0002;Katedra fyziky atmosféry / Matematicko-fyzikální fakulta / Univerzita Karlova;;;Univerzita Karlova / Filozofická fakulta;orjk:11320
uk.matematicko_fyzikalni_fakulta.katedra_fyziky_kondenzovanych_latek;orjk:11320:0003;Katedra fyziky kondenzovaných látek / Matematicko-fyzikální fakulta / Univerzita Karlova;;;Univerzita Karlova / LMNT;orjk:11320
uk.matematicko_fyzikalni_fakulta.katedra_fyziky_povrchu_a_plazmatu;orjk:11320:0004;Katedra fyziky povrchů a plazmatu / Matematicko-fyzikální fakulta / Univerzita Karlova;;;Univerzita Karlova / LMNT;orjk:11320
uk.pedagogicka_fakulta_3;orjk:11410;Pedagogická fakulta / Univerzita Karlova;;;;024d6js02
uk.pedagogicka_fakulta_3.katedra_dejin_a_didaktiky_dejepisu;orjk:11410:0001;Katedra dějin a didaktiky dějepisu / Pedagogická fakulta / Univerzita Karlova;;;Univerzita Karlova / LINDAT/CLARIN II;orjk:11410
uk.prirodovedecka_fakulta_3;orjk:11310;Přírodovědecká fakulta / Univerzita Karlova;;1;Univerzita Karlova / Přírodovědecká fakulta;024d6js02
uk.prirodovedecka_fakulta_3.katedra_botaniky_1;orjk:11310:0001;Katedra botaniky / Přírodovědecká fakulta / Univerzita Karlova;;;Univerzita Karlova / ČNK;orjk:11310
uk.prirodovedecka_fakulta_3.katedra_fyzikalni_a_makromol_chemie;orjk:11310:0002;Katedra fyzikální a makromol. chemie / Přírodovědecká fakulta / Univerzita Karlova;;;Univerzita Karlova / Matematicko-fyzikální fakulta;orjk:11310
uk.prirodovedecka_fakulta_3.katedra_kartografie_a_geoinformatiky;orjk:11310:0003;Katedra kartografie a geoinformatiky / Přírodovědecká fakulta / Univerzita Karlova;;;Univerzita Karlova / Evropské informační středisko;orjk:11310
uk.prirodovedecka_fakulta_3.katedra_socialni_geografie_a_region_rozvoje;orjk:11310:0004;Katedra sociální geografie a region. rozvoje / Přírodovědecká fakulta / Univerzita Karlova;;;Univerzita Karlova / Koleje a menzy;orjk:11310
umk;0102mm775;Nicolaus Copernicus University;;0;;
unc_charlotte;04dawnj30;University of North Carolina at Charlotte;;0;;
uniba;0587ef340;Univerzita Komenského v Bratislave;;0;;
uni_bayreuth;0234wmv40;University of Bayreuth;;0;;
uni_bergen;03zga2b32;University of Bergen;;0;;
uni_graz;01faaaf77;Universität Graz;;0;;
uni_manchester;027m9bs27;University of Manchester;;0;;
uni_minnesota;017zqws13;University of Minnesota;;0;;
uni_munster;00pd74e08;Universität Münster;;0;;
