src_id,tgt_id,src_title,tgt_title
nde,NDE,"{'cs': 'ndebele (Zimbabwe)', 'en': 'North Ndebele'}","{'cs': 'severní ndebelština', 'en': 'North Ndebele'}"
ndo,NDO,"{'cs': 'ndondština', 'en': 'Ndonga'}","{'cs': 'Ndonga', 'en': 'Ndonga'}"
nep,NEP,"{'cs': 'nepálština', 'en': 'Nepali'}","{'cs': 'nepálština', 'en': 'Nepali'}"
dut,NLD,"{'cs': 'nizozemština', 'en': 'Dutch'}","{'cs': 'nizozemština', 'en': 'Dutch'}"
nno,NNO,"{'cs': 'norština (nynorsk)', 'en': 'Norwegian Nynorsk'}","{'cs': 'norština (nynorsk)', 'en': 'Norwegian Nynorsk'}"
nob,NOB,"{'cs': 'norština (bokmål)', 'en': 'Norwegian Bokmål'}","{'cs': 'norština (bokmål)', 'en': 'Norwegian Bokmål'}"
nor,NOR,"{'cs': 'norština', 'en': 'Norwegian'}","{'cs': 'norština', 'en': 'Norwegian'}"
nya,NYA,"{'cs': 'ňandžština', 'en': 'Nyanja'}","{'cs': 'čičevština', 'en': 'Chewa'}"
oci,OCI,"{'cs': 'okcitánština', 'en': 'Occitan'}","{'cs': 'okcitánština', 'en': 'Occitan'}"
oji,OJI,"{'cs': 'odžibvejština', 'en': 'Ojibwa'}","{'cs': 'Ojibwa', 'en': 'Ojibwa'}"
ori,ORI,"{'cs': 'urijština', 'en': 'Odia'}","{'cs': 'Oriya', 'en': 'Oriya'}"
orm,ORM,"{'cs': 'oromština', 'en': 'Oromo'}","{'cs': 'Oromo', 'en': 'Oromo'}"
oss,OSS,"{'cs': 'osetština', 'en': 'Ossetic'}","{'cs': 'osetština', 'en': 'Ossetic'}"
pan,PAN,"{'cs': 'paňdžábština', 'en': 'Punjabi'}","{'cs': 'paňdžábština', 'en': 'Punjabi'}"
pli,PLI,"{'cs': 'pálí', 'en': 'Pali'}","{'cs': 'Pali', 'en': 'Pali'}"
pol,POL,"{'cs': 'polština', 'en': 'Polish'}","{'cs': 'polština', 'en': 'Polish'}"
por,POR,"{'cs': 'portugalština', 'en': 'Portuguese'}","{'cs': 'portugalština', 'en': 'Portuguese'}"
pus,PUS,"{'cs': 'paštština', 'en': 'Pashto'}","{'cs': 'paštština', 'en': 'Pashto'}"
que,QUE,"{'cs': 'kečuánština', 'en': 'Quechua'}","{'cs': 'kečuánština', 'en': 'Quechua'}"
roh,ROH,"{'cs': 'rétorománština', 'en': 'Romansh'}","{'cs': 'románština', 'en': 'Romansh'}"
rum,RON,"{'cs': 'rumunština', 'en': 'Romanian'}","{'cs': 'rumunština', 'en': 'Romanian'}"
run,RUN,"{'cs': 'kirundština', 'en': 'Rundi'}","{'cs': 'rundština', 'en': 'Kirundi'}"
rus,RUS,"{'cs': 'ruština', 'en': 'Russian'}","{'cs': 'ruština', 'en': 'Russian'}"
sag,SAG,"{'cs': 'sangština', 'en': 'Sango'}","{'cs': 'sangština', 'en': 'Sango'}"
san,SAN,"{'cs': 'sanskrt', 'en': 'Sanskrit'}","{'cs': 'sanskrt', 'en': 'Sanskrit'}"
sin,SIN,"{'cs': 'sinhálština', 'en': 'Sinhala'}","{'cs': 'sinhálština', 'en': 'Sinhala'}"
slo,SLK,"{'cs': 'slovenština', 'en': 'Slovak'}","{'cs': 'slovenština', 'en': 'Slovak'}"
slv,SLV,"{'cs': 'slovinština', 'en': 'Slovenian'}","{'cs': 'slovinština', 'en': 'Slovenian'}"
sme,SME,"{'cs': 'sámština (severní)', 'en': 'Northern Sami'}","{'cs': 'severosámština', 'en': 'Northern Sami'}"
smo,SMO,"{'cs': 'samojština', 'en': 'Samoan'}","{'cs': 'samojština', 'en': 'Samoan'}"
sna,SNA,"{'cs': 'šonština', 'en': 'Shona'}","{'cs': 'šonština', 'en': 'Shona'}"
snd,SND,"{'cs': 'sindhština', 'en': 'Sindhi'}","{'cs': 'Sindhi', 'en': 'Sindhi'}"
som,SOM,"{'cs': 'somálština', 'en': 'Somali'}","{'cs': 'somálština', 'en': 'Somali'}"
sot,SOT,"{'cs': 'sotština (jižní)', 'en': 'Southern Sotho'}","{'cs': 'jižní sotština', 'en': 'Southern Sotho'}"
spa,SPA,"{'cs': 'španělština', 'en': 'Spanish'}","{'cs': 'španělština', 'en': 'Spanish'}"
alb,SQI,"{'cs': 'albánština', 'en': 'Albanian'}","{'cs': 'albánština', 'en': 'Albanian'}"
srd,SRD,"{'cs': 'sardština', 'en': 'Sardinian'}","{'cs': 'Sardinian', 'en': 'Sardinian'}"
srp,SRP,"{'cs': 'srbština', 'en': 'Serbian'}","{'cs': 'srbština', 'en': 'Serbian'}"
ssw,SSW,"{'cs': 'siswatština', 'en': 'Swati'}","{'cs': 'svazijština', 'en': 'Swazi'}"
sun,SUN,"{'cs': 'sundština', 'en': 'Sundanese'}","{'cs': 'Sundanese', 'en': 'Sundanese'}"
swa,SWA,"{'cs': 'svahilština', 'en': 'Swahili'}","{'cs': 'svahilština', 'en': 'Swahili'}"
swe,SWE,"{'cs': 'švédština', 'en': 'Swedish'}","{'cs': 'švédština', 'en': 'Swedish'}"
tah,TAH,"{'cs': 'tahitština', 'en': 'Tahitian'}","{'cs': 'Tahitian', 'en': 'Tahitian'}"
tam,TAM,"{'cs': 'tamilština', 'en': 'Tamil'}","{'cs': 'tamilština', 'en': 'Tamil'}"
tat,TAT,"{'cs': 'tatarština', 'en': 'Tatar'}","{'cs': 'Tatar', 'en': 'Tatar'}"
tel,TEL,"{'cs': 'telugština', 'en': 'Telugu'}","{'cs': 'Telugu', 'en': 'Telugu'}"
tgk,TGK,"{'cs': 'tádžičtina', 'en': 'Tajik'}","{'cs': 'tádžičtina', 'en': 'Tajik'}"
tgl,FIL,"{'cs': 'tagalog', 'en': 'Tagalog'}","{'cs': 'filipínština', 'en': 'Filipino'}"
tha,THA,"{'cs': 'thajština', 'en': 'Thai'}","{'cs': 'thajština', 'en': 'Thai'}"
tir,TIR,"{'cs': 'tigrinijština', 'en': 'Tigrinya'}","{'cs': 'tigriňa', 'en': 'Tigrinya'}"
ton,TON,"{'cs': 'tongánština', 'en': 'Tongan'}","{'cs': 'tonžština', 'en': 'Tongan'}"
tsn,TSN,"{'cs': 'setswanština', 'en': 'Tswana'}","{'cs': 'tswanština', 'en': 'Tswana'}"
tso,TSO,"{'cs': 'tsonga', 'en': 'Tsonga'}","{'cs': 'tsongština', 'en': 'Tsonga'}"
tuk,TUK,"{'cs': 'turkmenština', 'en': 'Turkmen'}","{'cs': 'turkmenština', 'en': 'Turkmen'}"
tur,TUR,"{'cs': 'turečtina', 'en': 'Turkish'}","{'cs': 'turečtina', 'en': 'Turkish'}"
twi,TWI,"{'cs': 'twi', 'en': 'Twi'}","{'cs': 'Twi', 'en': 'Twi'}"
uig,UIG,"{'cs': 'ujgurština', 'en': 'Uyghur'}","{'cs': 'Uighur', 'en': 'Uighur'}"
ukr,UKR,"{'cs': 'ukrajinština', 'en': 'Ukrainian'}","{'cs': 'ukrajinština', 'en': 'Ukrainian'}"
urd,URD,"{'cs': 'urdština', 'en': 'Urdu'}","{'cs': 'urdština', 'en': 'Urdu'}"
uzb,UZB,"{'cs': 'uzbečtina', 'en': 'Uzbek'}","{'cs': 'uzbečtina', 'en': 'Uzbek'}"
ven,VEN,"{'cs': 'venda', 'en': 'Venda'}","{'cs': 'vendština', 'en': 'Venda'}"
vie,VIE,"{'cs': 'vietnamština', 'en': 'Vietnamese'}","{'cs': 'vietnamština', 'en': 'Vietnamese'}"
vol,VOL,"{'cs': 'volapük', 'en': 'Volapük'}","{'cs': 'Volapük', 'en': 'Volapük'}"
wln,WLN,"{'cs': 'valonština', 'en': 'Walloon'}","{'cs': 'valonština', 'en': 'Walloon'}"
wol,WOL,"{'cs': 'wolofština', 'en': 'Wolof'}","{'cs': 'wolofština', 'en': 'Wolof'}"
xho,XHO,"{'cs': 'xhoština', 'en': 'Xhosa'}","{'cs': 'xhoština', 'en': 'Xhosa'}"
yid,YID,"{'cs': 'jidiš', 'en': 'Yiddish'}","{'cs': 'jidiš', 'en': 'Yiddish'}"
yor,YOR,"{'cs': 'jorubština', 'en': 'Yoruba'}","{'cs': 'jorubština', 'en': 'Yoruba'}"
zha,ZHA,"{'cs': 'čuangština', 'en': 'Zhuang'}","{'cs': 'Zhuang', 'en': 'Zhuang'}"
chi,ZHO,"{'cs': 'čínština', 'en': 'Chinese'}","{'cs': 'čínština', 'en': 'Chinese'}"
zul,ZUL,"{'cs': 'zuluština', 'en': 'Zulu'}","{'cs': 'zulština', 'en': 'Zulu'}"
bak,BAK,"{'cs': 'baškirština', 'en': 'Bashkir'}","{'cs': 'Bashkir', 'en': 'Bashkir'}"
bam,BAM,"{'cs': 'bambarština', 'en': 'Bambara'}","{'cs': 'bambarština', 'en': 'Bambara'}"
bel,BEL,"{'cs': 'běloruština', 'en': 'Belarusian'}","{'cs': 'běloruština', 'en': 'Belarusian'}"
ben,BEN,"{'cs': 'bengálština', 'en': 'Bangla'}","{'cs': 'bengálština', 'en': 'Bengali'}"
bis,BIS,"{'cs': 'bislamština', 'en': 'Bislama'}","{'cs': 'bislamština', 'en': 'Bislama'}"
tib,BOD,"{'cs': 'tibetština', 'en': 'Tibetan'}","{'cs': 'tibetština', 'en': 'Tibetan'}"
bos,BOS,"{'cs': 'bosenština', 'en': 'Bosnian'}","{'cs': 'bosenština', 'en': 'Bosnian'}"
bre,BRE,"{'cs': 'bretonština', 'en': 'Breton'}","{'cs': 'bretonština', 'en': 'Breton'}"
bul,BUL,"{'cs': 'bulharština', 'en': 'Bulgarian'}","{'cs': 'bulharština', 'en': 'Bulgarian'}"
cat,CAT,"{'cs': 'katalánština', 'en': 'Catalan'}","{'cs': 'katalánština', 'en': 'Catalan'}"
cze,CES,"{'cs': 'čeština', 'en': 'Czech'}","{'cs': 'čeština', 'en': 'Czech'}"
fry,FRY,"{'cs': 'fríština (západní)', 'en': 'Western Frisian'}","{'cs': 'fríština', 'en': 'Frisian'}"
ful,FUL,"{'cs': 'fulbština', 'en': 'Fulah'}","{'cs': 'fulbština', 'en': 'Fula'}"
gla,GLA,"{'cs': 'skotská gaelština', 'en': 'Scottish Gaelic'}","{'cs': 'skotská gaelština', 'en': 'Scottish Gaelic'}"
gle,GLE,"{'cs': 'irština', 'en': 'Irish'}","{'cs': 'irština', 'en': 'Irish'}"
glg,GLG,"{'cs': 'galicijština', 'en': 'Galician'}","{'cs': 'galicijština', 'en': 'Galician'}"
glv,GLV,"{'cs': 'manština', 'en': 'Manx'}","{'cs': 'manština', 'en': 'Manx'}"
grn,GRN,"{'cs': 'guaranština', 'en': 'Guarani'}","{'cs': 'guaraníjština', 'en': 'Guarani'}"
guj,GUJ,"{'cs': 'gudžarátština', 'en': 'Gujarati'}","{'cs': 'Gujarati', 'en': 'Gujarati'}"
hat,HAT,"{'cs': 'haitština', 'en': 'Haitian Creole'}","{'cs': 'haitská kreolská francouzština', 'en': 'Haitian'}"
hau,HAU,"{'cs': 'hauština', 'en': 'Hausa'}","{'cs': 'hauština', 'en': 'Hausa'}"
hbs,SRP,"{'cs': 'srbochorvatština', 'en': 'Serbo-Croatian'}","{'cs': 'srbština', 'en': 'Serbian'}"
heb,HEB,"{'cs': 'hebrejština', 'en': 'Hebrew'}","{'cs': 'hebrejština', 'en': 'Hebrew'}"
her,HER,"{'cs': 'hererština', 'en': 'Herero'}","{'cs': 'Herero', 'en': 'Herero'}"
hin,HIN,"{'cs': 'hindština', 'en': 'Hindi'}","{'cs': 'hindština', 'en': 'Hindi'}"
hmo,HMO,"{'cs': 'hiri motu', 'en': 'Hiri Motu'}","{'cs': 'hiri motu', 'en': 'Hiri Motu'}"
hrv,HRV,"{'cs': 'chorvatština', 'en': 'Croatian'}","{'cs': 'chorvatština', 'en': 'Croatian'}"
